JoinField,DONNA MILLER,ERIC FRANCE,ROBERT PETERS,WILLIE PRESTON,"JESSE LOUIS JACKSON, JR.",YUMEKA BROWN,"PATRICK J. ""PJK"" KEATING",TONI C. BROWN,SIDNEY MOORE,ADAL REGIS,Total Voters
WILL:CRETE PCT 001,89,0,31,5,54,22,7,3,2,1,214
WILL:CRETE PCT 002,69,1,30,1,37,3,5,1,2,1,150
WILL:CRETE PCT 003,85,2,30,4,30,9,6,2,2,4,174
WILL:CRETE PCT 004,128,5,23,6,88,17,9,2,5,1,284
WILL:CRETE PCT 005,145,8,32,4,98,20,6,6,6,4,329
WILL:CRETE PCT 006,83,2,38,2,66,17,7,3,1,4,223
WILL:CRETE PCT 007,174,4,23,6,88,10,4,3,6,2,320
WILL:CRETE PCT 008,87,5,36,2,65,21,3,2,4,1,226
WILL:CRETE PCT 009,77,0,34,1,38,14,7,3,1,1,176
WILL:CRETE PCT 010,51,3,22,2,26,7,0,0,1,1,113
WILL:CRETE PCT 011,62,5,25,4,12,4,7,1,5,2,127
WILL:CRETE PCT 012,67,2,27,2,43,7,8,2,1,1,160
WILL:MONEE PCT 001,77,4,38,4,52,23,3,2,1,1,205
WILL:MONEE PCT 002,120,3,29,7,82,18,2,2,3,5,271
WILL:MONEE PCT 003,100,0,40,4,49,14,6,0,0,0,213
WILL:MONEE PCT 004,107,0,28,6,37,25,11,2,0,2,218
WILL:MONEE PCT 005,65,1,19,9,75,17,0,4,0,0,190
WILL:MONEE PCT 006,71,1,8,4,70,15,2,2,1,1,175
WILL:MONEE PCT 007,116,1,18,7,128,25,1,8,2,0,306
WILL:MONEE PCT 008,84,2,37,6,36,12,7,1,0,0,185
WILL:PEOTONE PCT 001,34,1,23,2,10,0,3,0,0,1,74
WILL:PEOTONE PCT 002,46,0,24,3,16,4,7,2,2,1,105
WILL:WASHINGTON PCT 001,68,5,30,1,11,1,8,3,0,1,128
WILL:WASHINGTON PCT 002,90,2,19,4,27,9,11,3,0,1,166
WILL:WASHINGTON PCT 003,51,0,18,1,11,0,1,1,3,0,86
WILL:WILL PCT 001,42,4,20,1,9,2,6,2,0,2,88
WILL:Total:,2188,61,702,98,1258,316,137,60,48,38,4906
