JoinField,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
LAKE:CUBA 66,14,1,0,0,2,1,17,7,1,23,1,3,1,1,0,72
LAKE:CUBA 67,36,0,1,4,2,1,52,15,1,50,0,2,1,2,0,167
LAKE:CUBA 68,74,2,6,4,1,0,54,8,0,42,1,3,0,5,0,200
LAKE:CUBA 69,38,0,1,7,0,0,32,2,0,37,0,0,0,2,0,119
LAKE:CUBA 70,96,1,6,3,2,7,88,19,0,18,3,1,0,3,0,247
LAKE:CUBA 71,108,3,2,2,4,0,85,16,1,19,2,3,0,6,0,251
LAKE:ELA 79,43,1,1,6,3,1,35,6,1,28,1,1,0,3,0,130
LAKE:ELA 80,80,1,3,5,3,1,35,6,1,36,3,0,1,1,1,177
LAKE:ELA 81,49,1,4,1,4,1,31,7,0,27,1,0,0,2,0,128
LAKE:ELA 82,51,1,6,9,1,5,40,6,2,43,3,2,0,6,1,176
LAKE:ELA 83,71,0,0,2,4,6,40,9,0,45,1,0,0,1,1,180
LAKE:ELA 87,53,2,1,0,1,1,47,14,0,27,2,1,0,1,0,150
LAKE:ELA 88,54,1,0,4,1,2,29,9,0,40,0,1,1,1,0,143
LAKE:ELA 89,43,1,1,12,4,1,31,5,0,34,3,1,0,3,0,139
LAKE:ELA 90,51,4,2,7,1,1,55,6,1,38,4,0,1,0,1,172
LAKE:FREMONT 115,41,0,4,7,3,1,44,13,0,32,0,0,1,2,1,149
LAKE:FREMONT 118,64,2,2,1,4,2,49,6,4,56,1,1,1,3,0,196
LAKE:VERNON 270,55,1,3,3,0,0,29,4,0,18,0,2,1,2,0,118
LAKE:VERNON 275,29,0,2,2,2,1,18,9,0,13,0,1,0,2,1,80
LAKE:VERNON 276,64,1,3,2,2,3,78,4,0,33,0,0,1,6,0,197
LAKE:VERNON 283,75,1,1,3,1,2,67,7,0,41,0,0,5,3,0,206
LAKE:VERNON 284,134,1,6,2,1,4,110,6,1,34,0,0,2,8,0,309
LAKE:VERNON 285,96,0,1,4,2,2,66,4,1,31,0,3,2,0,0,212
LAKE:VERNON 288,121,2,1,4,1,3,70,5,0,47,0,1,4,2,3,264
LAKE:VERNON 289,91,3,4,0,2,1,50,9,0,20,0,0,1,1,1,183
LAKE:VERNON 290,94,2,0,1,2,3,53,6,0,25,0,1,1,2,2,192
LAKE:WAUCONDA 344,41,0,2,3,10,0,40,5,0,37,0,1,0,1,0,140
LAKE:WAUCONDA 346,36,3,0,2,8,1,28,4,0,34,2,0,2,3,0,123
LAKE:WAUCONDA 347,35,1,4,6,3,0,26,6,0,24,1,0,2,1,1,110
LAKE:WAUCONDA 350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE:WAUCONDA 353,30,0,3,2,5,1,20,4,0,27,0,7,0,0,1,100
LAKE:WAUCONDA 354,61,2,4,6,3,1,39,11,0,36,0,2,0,1,0,166
LAKE:TOTAL:,1928,38,74,114,82,53,1458,238,14,1015,29,37,28,74,14,5196
