JoinField,JoinField_alt,Rachel Ruttenberg,Patrick Hanley,Total Voters
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,61,88,149
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,186,175,361
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,189,158,347
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,315,338,653
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,378,330,708
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,173,136,309
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,165,143,308
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,254,252,506
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,96,91,187
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,257,191,448
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,253,260,513
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,333,254,587
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,305,333,638
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,207,214,421
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,120,124,244
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,143,179,322
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,114,104,218
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,394,325,719
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,124,109,233
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,270,236,506
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,109,91,200
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,162,164,326
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,207,193,400
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,151,180,331
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,285,365,650
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,190,212,402
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,195,179,374
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,303,400,703
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,288,310,598
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,305,305,610
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,354,305,659
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,302,404,706
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,4,12,16
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,219,202,421
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,301,271,572
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,222,158,380
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,144,128,272
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,99,96,195
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,227,178,405
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,222,187,409
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,157,145,302
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,455,355,810
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,326,277,603
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,317,324,641
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,157,162,319
COOK:8000031,COOK:Maine Precinct 31,49,47,96
COOK:8000044,COOK:Maine Precinct 44,62,86,148
COOK:8000052,COOK:Maine Precinct 52,80,129,209
COOK:8000074,COOK:Maine Precinct 74,77,74,151
COOK:8000076,COOK:Maine Precinct 76,29,60,89
COOK:8100003,COOK:New Trier Precinct 3,111,208,319
COOK:8100006,COOK:New Trier Precinct 6,0,0,0
COOK:8100008,COOK:New Trier Precinct 8,26,110,136
COOK:8100009,COOK:New Trier Precinct 9,31,190,221
COOK:8100010,COOK:New Trier Precinct 10,34,169,203
COOK:8100011,COOK:New Trier Precinct 11,43,183,226
COOK:8100012,COOK:New Trier Precinct 12,35,182,217
COOK:8100013,COOK:New Trier Precinct 13,146,205,351
COOK:8100014,COOK:New Trier Precinct 14,48,178,226
COOK:8100015,COOK:New Trier Precinct 15,42,96,138
COOK:8100016,COOK:New Trier Precinct 16,26,208,234
COOK:8100017,COOK:New Trier Precinct 17,112,207,319
COOK:8100018,COOK:New Trier Precinct 18,49,146,195
COOK:8100019,COOK:New Trier Precinct 19,32,185,217
COOK:8100020,COOK:New Trier Precinct 20,0,0,0
COOK:8100021,COOK:New Trier Precinct 21,153,203,356
COOK:8100022,COOK:New Trier Precinct 22,39,112,151
COOK:8100023,COOK:New Trier Precinct 23,35,109,144
COOK:8100024,COOK:New Trier Precinct 24,145,153,298
COOK:8100025,COOK:New Trier Precinct 25,61,142,203
COOK:8100026,COOK:New Trier Precinct 26,180,309,489
COOK:8100027,COOK:New Trier Precinct 27,97,244,341
COOK:8100028,COOK:New Trier Precinct 28,43,84,127
COOK:8100029,COOK:New Trier Precinct 29,55,130,185
COOK:8100030,COOK:New Trier Precinct 30,76,202,278
COOK:8100031,COOK:New Trier Precinct 31,83,207,290
COOK:8100032,COOK:New Trier Precinct 32,56,266,322
COOK:8100033,COOK:New Trier Precinct 33,126,295,421
COOK:8100034,COOK:New Trier Precinct 34,108,115,223
COOK:8100035,COOK:New Trier Precinct 35,64,124,188
COOK:8100036,COOK:New Trier Precinct 36,132,333,465
COOK:8100037,COOK:New Trier Precinct 37,133,232,365
COOK:8100038,COOK:New Trier Precinct 38,131,260,391
COOK:8100039,COOK:New Trier Precinct 39,78,114,192
COOK:8200003,COOK:Niles Precinct 3,77,164,241
COOK:8200007,COOK:Niles Precinct 7,178,144,322
COOK:8200008,COOK:Niles Precinct 8,137,54,191
COOK:8200011,COOK:Niles Precinct 11,70,50,120
COOK:8200014,COOK:Niles Precinct 14,244,127,371
COOK:8200018,COOK:Niles Precinct 18,340,216,556
COOK:8200019,COOK:Niles Precinct 19,431,58,489
COOK:8200021,COOK:Niles Precinct 21,426,185,611
COOK:8200022,COOK:Niles Precinct 22,95,75,170
COOK:8200023,COOK:Niles Precinct 23,255,105,360
COOK:8200027,COOK:Niles Precinct 27,25,8,33
COOK:8200028,COOK:Niles Precinct 28,292,140,432
COOK:8200031,COOK:Niles Precinct 31,188,177,365
COOK:8200032,COOK:Niles Precinct 32,76,52,128
COOK:8200033,COOK:Niles Precinct 33,110,67,177
COOK:8200036,COOK:Niles Precinct 36,81,82,163
COOK:8200037,COOK:Niles Precinct 37,141,99,240
COOK:8200041,COOK:Niles Precinct 41,84,96,180
COOK:8200045,COOK:Niles Precinct 45,137,106,243
COOK:8200047,COOK:Niles Precinct 47,152,67,219
COOK:8200048,COOK:Niles Precinct 48,88,79,167
COOK:8200049,COOK:Niles Precinct 49,300,202,502
COOK:8200057,COOK:Niles Precinct 57,44,71,115
COOK:8200059,COOK:Niles Precinct 59,147,198,345
COOK:8200060,COOK:Niles Precinct 60,204,139,343
COOK:8200062,COOK:Niles Precinct 62,77,60,137
COOK:8300004,COOK:Northfield Precinct 4,98,101,199
COOK:8300005,COOK:Northfield Precinct 5,96,48,144
COOK:8300006,COOK:Northfield Precinct 6,89,148,237
COOK:8300007,COOK:Northfield Precinct 7,188,145,333
COOK:8300010,COOK:Northfield Precinct 10,102,89,191
COOK:8300011,COOK:Northfield Precinct 11,24,19,43
COOK:8300012,COOK:Northfield Precinct 12,157,249,406
COOK:8300013,COOK:Northfield Precinct 13,89,91,180
COOK:8300014,COOK:Northfield Precinct 14,17,18,35
COOK:8300019,COOK:Northfield Precinct 19,127,150,277
COOK:8300020,COOK:Northfield Precinct 20,168,72,240
COOK:8300021,COOK:Northfield Precinct 21,150,203,353
COOK:8300024,COOK:Northfield Precinct 24,103,134,237
COOK:8300025,COOK:Northfield Precinct 25,110,91,201
COOK:8300030,COOK:Northfield Precinct 30,116,178,294
COOK:8300033,COOK:Northfield Precinct 33,40,44,84
COOK:8300034,COOK:Northfield Precinct 34,73,109,182
COOK:8300038,COOK:Northfield Precinct 38,89,98,187
COOK:8300041,COOK:Northfield Precinct 41,149,95,244
COOK:8300042,COOK:Northfield Precinct 42,103,102,205
COOK:8300043,COOK:Northfield Precinct 43,159,64,223
COOK:8300044,COOK:Northfield Precinct 44,82,112,194
COOK:8300045,COOK:Northfield Precinct 45,92,75,167
COOK:8300048,COOK:Northfield Precinct 48,94,99,193
COOK:8300049,COOK:Northfield Precinct 49,68,74,142
COOK:8300050,COOK:Northfield Precinct 50,30,15,45
COOK:8300051,COOK:Northfield Precinct 51,277,327,604
COOK:8300052,COOK:Northfield Precinct 52,107,163,270
COOK:8300053,COOK:Northfield Precinct 53,167,86,253
COOK:8300056,COOK:Northfield Precinct 56,4,5,9
COOK:8300057,COOK:Northfield Precinct 57,97,69,166
,COOK:Suburban Cook County,20529,22034,42563
