Representative in Congress Ninth Congressional District (Vote For 1),,,,,
,,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su
County,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes
Cuba 66,798,30,20,9,3
Cuba 67,1110,40,34,4,7
Cuba 68,1021,50,32,3,8
Cuba 69,1133,63,28,5,6
Cuba 70,1099,51,30,8,4
Cuba 71,1068,61,12,5,6
Ela 79,1122,62,19,4,11
Ela 80,1237,47,20,1,5
Ela 81,1044,23,16,2,17
Ela 82,1274,23,11,6,22
Ela 83,1174,33,13,2,5
Ela 87,1114,50,17,3,1
Ela 88,1122,74,18,5,5
Ela 89,1188,33,21,1,7
Ela 90,1168,16,18,4,8
Fremont 115,1303,31,19,6,4
Fremont 118,1252,39,15,4,3
Vernon 270,852,10,5,3,2
Vernon 275,731,12,15,5,6
Vernon 276,1038,8,12,6,7
Vernon 283,943,14,9,2,4
Vernon 284,1157,12,16,3,1
Vernon 285,863,7,7,4,3
Vernon 288,1042,12,19,5,5
Vernon 289,865,14,16,4,0
Vernon 290,903,21,11,1,1
Wauconda 344,1124,48,29,8,5
Wauconda 346,912,18,15,9,4
Wauconda 347,1004,43,17,3,3
Wauconda 350,1089,0,0,0,0
Wauconda 353,839,34,19,5,1
Wauconda 354,1025,61,21,4,9
Total:,33614,1040,554,134,173
